rank,post_id,headline,p_false,band_precision,clip_consistency,source_community,actual_label,visual_gate
1,cx08ly,robert downey jr explains why he and chris evans left the marvel cinematic universe at the same time,0.9996021,0.7117903930131004,0.1664726,savedyouaclick,false,0.47431505
2,82mrou,a yearold man paraded his yearold bride in times square to bring home a startling reality,0.99942523,0.7117903930131004,0.16666543,savedyouaclick,false,0.47548607
3,6mmojr,half life update fans hopeful after valve make this shock announcement,0.99939317,0.7117903930131004,0.15082085,savedyouaclick,false,0.47931537
4,91rcxj,white house puts out fabricated video and transcript of helsinki press conference omitting putins admission that he wanted trump to win and directed his top officials to help him do that,0.9993178,0.7117903930131004,0.15149781,usnews,true,0.48254636
5,db0d9h,dog the bounty hunter receives scary diagnosis months after wifes death,0.99929667,0.7117903930131004,0.115931995,savedyouaclick,false,0.47536016
6,bu1daw,glowing nippy,0.9992614,0.7117903930131004,0.20685121,confusing_perspective,false,0.4919159
7,4lvsf3,tears alert this soldier came back from the war and what he saw on his return is moving,0.99923116,0.7117903930131004,0.14018987,savedyouaclick,false,0.47038817
8,2gti7v,nigeria is ebola meme being used to spread fears virus was created by white people,0.99914664,0.7117903930131004,0.24764135,nottheonion,true,0.49742293
9,1cte6c,school dominated by black and asian pupils will lead to a sexual volcano warns tory councillor,0.9991048,0.7117903930131004,0.100105435,nottheonion,true,0.47918677
10,bq1udm,new heinz condiment mayochup has an unfortunate translation in cree,0.9989705,0.7117903930131004,0.1543898,savedyouaclick,false,0.47616777
11,4yff2z,you will never guess why this man built this pool,0.9988594,0.7117903930131004,0.14415464,savedyouaclick,false,0.48220313
12,16bvyb,ibms watson memorized the entire urban dictionary then his overlords had to delete it,0.99883443,0.7117903930131004,0.2066913,nottheonion,true,0.48342738
13,71ycuj,osteens car makes a bugatti look like a go kart what made him spend million on this beast,0.99868345,0.7117903930131004,0.12957408,savedyouaclick,false,0.4698988
14,5tt5f9,flu death rates just hit the epidemic threshold but this is the real shocker,0.9986024,0.7117903930131004,0.18453015,savedyouaclick,false,0.47780934
15,136jd5,giant battletech marauder robot photoshopped into exam sat by students in australia,0.9985611,0.7117903930131004,0.16531351,nottheonion,true,0.48041734
